periodo,valor
Ene.2010,3.09973872260936
Feb.2010,5.09543709179996
Mar.2010,8.13674194381058
Abr.2010,7.9722443788201
May.2010,7.53505209738022
Jun.2010,12.8277818078601
Jul.2010,9.91181998600019
Ago.2010,8.72290742396025
Sep.2010,10.06527640767
Oct.2010,9.42619659579032
Nov.2010,8.83483102372992
Dic.2010,7.81210224176022
Ene.2011,9.56527024911006
Feb.2011,8.05783062817041
Mar.2011,7.68532243598949
Abr.2011,7.42563488842943
May.2011,5.54189993776013
Jun.2011,2.98103131605997
Jul.2011,6.06507053676931
Ago.2011,6.48080840764941
Sep.2011,4.90474354881041
Oct.2011,4.45651581325019
Nov.2011,4.74225301367989
Dic.2011,8.66690720500048
Ene.2012,5.45154968600407
Feb.2012,7.05454218784318
Mar.2012,5.85691316374118
Abr.2012,3.19711552540307
May.2012,6.9171164679619
Jun.2012,7.53631288857866
Jul.2012,7.25261754336291
Ago.2012,7.06201511835402
Sep.2012,6.74548019154057
Oct.2012,7.41634436032168
Nov.2012,6.06180649649839
Dic.2012,3.42503686357549
Ene.2013,6.45527800965146
Feb.2013,5.08612805742209
Mar.2013,3.50645360666613
Abr.2013,8.82067463968362
May.2013,4.26285716421081
Jun.2013,5.85480037508544
Jul.2013,5.31159859188824
Ago.2013,5.50543308658207
Sep.2013,4.86322588723548
Oct.2013,6.2085695594993
Nov.2013,7.28241158278986
Dic.2013,7.03298792251822
Ene.2014,4.22779553969517
Feb.2014,5.20778584573871
Mar.2014,5.41175050657321
Abr.2014,2.9227670766698
May.2014,2.59010248818859
Jun.2014,0.377809386320063
Jul.2014,1.44969443766443
Ago.2014,1.35321229346922
Sep.2014,2.67337539829948
Oct.2014,2.27379963938056
Nov.2014,0.157929164213429
Dic.2014,0.794857324711063
Ene.2015,1.56136027088578
Feb.2015,1.23388958685352
Mar.2015,2.93665474858232
Abr.2015,4.19795086562356
May.2015,1.28310541124468
Jun.2015,4.0852915674958
Jul.2015,3.60261789062785
Ago.2015,2.66923547239152
Sep.2015,3.1878615346694
Oct.2015,3.27340498190499
Nov.2015,3.9419272426407
Dic.2015,6.50665717154398
Ene.2016,3.54102729192158
Feb.2016,6.42433385603047
Mar.2016,3.54940732384805
Abr.2016,2.76647916648216
May.2016,4.87350380260541
Jun.2016,3.57853940223563
Jul.2016,3.58058848604883
Ago.2016,5.77374525795702
Sep.2016,4.50899026825206
Oct.2016,2.18073554688548
Nov.2016,3.51819707926029
Dic.2016,3.47941209391209
Ene.2017,5.01618303367953
Feb.2017,0.787434462023569
Mar.2017,1.16379585033846
Abr.2017,0.312176167669932
May.2017,3.6584833367899
Jun.2017,3.97016280935115
