periodo,valor
Ene.2010,-1.07981318390099
Feb.2010,-1.03343957113004
Mar.2010,-0.942095800125606
Abr.2010,-0.956467052154669
May.2010,-0.906721940727029
Jun.2010,-0.974494599473018
Jul.2010,-0.991654756565712
Ago.2010,-0.992850627780933
Sep.2010,-1.07013300962002
Oct.2010,-1.07388085223707
Nov.2010,-1.10905287415933
Dic.2010,-1.19012912552159
Ene.2011,-1.18193935149356
Feb.2011,-1.20397958687219
Mar.2011,-1.19992447828815
Abr.2011,-1.18663283243646
May.2011,-1.19720397800093
Jun.2011,-1.23185341804897
Jul.2011,-1.24457567683523
Ago.2011,-1.2488487776952
Sep.2011,-1.26547927958377
Oct.2011,-1.26987730979053
Nov.2011,-1.32003315004558
Dic.2011,-1.32709497949133
Ene.2012,-1.35171141715641
Feb.2012,-1.3549918114452
Mar.2012,-1.3451306092898
Abr.2012,-1.35176966949644
May.2012,-1.3092336231386
Jun.2012,-1.30974100782718
Jul.2012,-1.26751247379217
Ago.2012,-1.25221224996249
Sep.2012,-1.28035372984377
Oct.2012,-1.253790240867
Nov.2012,-1.25990318635738
Dic.2012,-1.2505119569442
Ene.2013,-1.28506032312518
Feb.2013,-1.27396173318462
Mar.2013,-1.20013242917467
Abr.2013,-1.18564390771668
May.2013,-1.15057315860679
Jun.2013,-1.14154440359344
Jul.2013,-1.09420036704758
Ago.2013,-1.07021822861025
Sep.2013,-1.09400064373207
Oct.2013,-1.05192033182521
Nov.2013,-1.03711930558312
Dic.2013,-0.992845998050607
Ene.2014,-0.954646798537362
Feb.2014,-0.95483047288656
Mar.2014,-0.945288348338772
Abr.2014,-0.951374894212407
May.2014,-0.919689516762813
Jun.2014,-0.937901664897305
Jul.2014,-0.851894012739674
Ago.2014,-0.840250370380197
Sep.2014,-0.782159937741421
Oct.2014,-0.68890725963177
Nov.2014,-0.687784578755779
Dic.2014,-0.585803474068313
Ene.2015,-0.607852965754395
Feb.2015,-0.55310692548763
Mar.2015,-0.648044097123414
Abr.2015,-0.617299731185986
May.2015,-0.591982353855263
Jun.2015,-0.623320653269388
Jul.2015,-0.589342347938069
Ago.2015,-0.589727794880051
Sep.2015,-0.604995808525998
Oct.2015,-0.568519048331759
Nov.2015,-0.526352100467656
Dic.2015,-0.466232645152518
Ene.2016,-0.588234307651714
Feb.2016,-0.55310692548763
Mar.2016,-0.572810172652404
Abr.2016,-0.514922433678113
May.2016,-0.455762265550142
Jun.2016,-0.437075481308033
Jul.2016,-0.446427385455651
Ago.2016,-0.392709150153627
Sep.2016,-0.414458539406113
Oct.2016,-0.350160394953117
Nov.2016,-0.368150496838563
Dic.2016,-0.466232645152518
Ene.2017,-0.367711139473621
Feb.2017,-0.350037433496358
Mar.2017,-0.329413800134421
Abr.2017,-0.347878240743341
May.2017,-0.317517815425733
Jun.2017,-0.360458361876616
Jul.2017,-0.3589745119768
Ago.2017,-0.348855260316429
Sep.2017,-0.311805379971188
Oct.2017,-0.289837124363681
Nov.2017,-0.263127895481221
Dic.2017,-0.237052221655449
Ene.2018,3.14519066002727
Feb.2018,3.26151150084781
Mar.2018,3.0878420925932
Abr.2018,3.1271182026806
May.2018,3.15582794824177
Jun.2018,3.11917352455379
Jul.2018,3.19897849603831
Ago.2018,3.2376456401199
Sep.2018,3.08026289723203
Oct.2018,3.10904125590263
Nov.2018,3.08450276553666
Dic.2018,2.9597065723084
Ene.2019,3.04847506876505
Feb.2019,3.05667140624593
Mar.2019,2.99999966105989
Abr.2019,3.06012323322907
May.2019,3.11784638591579
Jun.2019,3.09426522474517
Jul.2019,3.1360073883821
Ago.2019,3.13760601121313
Sep.2019,3.11181431724905
Oct.2019,3.09241656788387
Nov.2019,3.05944824397228
Dic.2019,3.02762252360114
Ene.2020,3.1038717695207
Feb.2020,3.10114400351148
Mar.2020,3.15994706174897
Abr.2020,3.39566323634592
May.2020,3.08616708629
Jun.2020,3.15991786341011
Jul.2020,3.03434570860496
Ago.2020,3.11567558145237
Sep.2020,3.30258064356599
Oct.2020,3.52927265934593
Nov.2020,3.71091305823549
Dic.2020,3.8102825407184
Ene.2021,3.84839322182932
Feb.2021,3.85778813967527
Mar.2021,3.76742346752542
Abr.2021,3.63905854376485
May.2021,3.58448734961418
Jun.2021,3.62268563558908
Jul.2021,3.67943201418543
Ago.2021,3.71881460958484
Sep.2021,3.75167268170619
Oct.2021,3.85965465068903
Nov.2021,3.85987329263257
Dic.2021,3.78588222582932
Ene.2022,3.89129160010795
Feb.2022,3.84427100573334
Mar.2022,3.82065158095381
Abr.2022,3.78426439506345
May.2022,3.82256240043624
Jun.2022,3.84811793886159
Jul.2022,3.8
Ago.2022,3.95512176814741
Sep.2022,3.98701575250563
Oct.2022,4.04790360790565
Nov.2022,4.019187376436
Dic.2022,3.96240438650947
Ene.2023,4.02915752781957
Feb.2023,4.03300480330492
Mar.2023,3.97439828974475
Abr.2023,4.0317913236286
May.2023,4.06383101858679
Jun.2023,4.08191257918422
Jul.2023,4.20932309677453
Ago.2023,4.27025914007572
Sep.2023,4.30436687248137
Oct.2023,4.39974390699792
Nov.2023,4.39836994474117
Dic.2023,4.3281923504803
Ene.2024,4.43826726310807
Feb.2024,4.44426032488222
Mar.2024,4.48099888361583
Abr.2024,4.47371720708184
May.2024,4.57
Jun.2024,4.49
Jul.2024,4.447350688963
Ago.2024,4.22853287008822
Sep.2024,4.16429293490612
Oct.2024,4.07775268926764
Nov.2024,3.96
Dic.2024,3.8
Ene.2025,3.78
Feb.2025,3.69
Mar.2025,3.73
Abr.2025,3.66
May.2025,3.62
Jun.2025,3.51
Jul.2025,3.53
Ago.2025,3.47
Sep.2025,3.42
Oct.2025,3.4
Nov.2025,3.27
Dic.2025,3.27
Ene.2026,3.2
Feb.2026,3.12
Mar.2026,3
Abr.2026,2.9
May.2026,2.84
Jun.2026,2.85
