periodo,valor
Ene.2010,69.7136816328321
Feb.2010,69.9385138944542
Mar.2010,70.1349097028041
Abr.2010,70.1526941164795
May.2010,70.319559174288
Jun.2010,70.495954894733
Jul.2010,70.7525287206685
Ago.2010,70.9425101139349
Sep.2010,70.9198027512508
Oct.2010,70.8192940467514
Nov.2010,70.8248925993405
Dic.2010,70.9512908774276
Ene.2011,71.2283105646479
Feb.2011,71.5006315782516
Mar.2011,72.0029008320805
Abr.2011,72.4931779487685
May.2011,72.4759927600571
Jun.2011,72.5478476794027
Jul.2011,73.1231175318247
Ago.2011,73.3174920842417
Sep.2011,73.5625077424483
Oct.2011,73.794119647811
Nov.2011,74.1124844688423
Dic.2011,74.3132616323748
Ene.2012,74.2379662035315
Feb.2012,74.4791719574771
Mar.2012,75.0496945317084
Abr.2012,75.4486137965042
May.2012,75.4782355070343
Jun.2012,75.4505385376399
Jul.2012,75.5187147850747
Ago.2012,75.9026527314205
Sep.2012,76.3145813576587
Oct.2012,76.1899418708041
Nov.2012,76.0852045683551
Dic.2012,76.2820940603079
Ene.2013,76.3701370802442
Feb.2013,76.301403956872
Mar.2013,76.99485097723
Abr.2013,77.1891755363707
May.2013,77.3386026616823
Jun.2013,77.5410733474478
Jul.2013,77.9663696202748
Ago.2013,78.3896529693816
Sep.2013,78.4749255285923
Oct.2013,78.5049596836515
Nov.2013,78.3336278654801
Dic.2013,78.4635187293942
Ene.2014,78.7121276543314
Feb.2014,79.1850605759155
Mar.2014,79.5956817391094
Abr.2014,79.9086695055395
May.2014,80.0884883767056
Jun.2014,80.215971231147
Jul.2014,80.5635571221473
Ago.2014,80.4945788992393
Sep.2014,80.6237747177433
Oct.2014,80.9292246090764
Nov.2014,80.8082672658879
Dic.2014,80.9932305840506
Ene.2015,81.1311585614732
Feb.2015,81.3773664204482
Mar.2015,81.9996299525466
Abr.2015,82.3198438304482
May.2015,82.7844285692493
Jun.2015,83.0595554554826
Jul.2015,83.4339766262131
Ago.2015,83.7487113799077
Sep.2015,83.771774250334
Oct.2015,83.8913998281912
Nov.2015,84.1800464238952
Dic.2015,84.5552549887266
Ene.2016,84.8702404031536
Feb.2016,85.0179920593596
Mar.2016,85.5265000574541
Abr.2016,85.5362556898337
May.2016,85.7155086648867
Jun.2016,85.8350891099251
Jul.2016,85.9052567561972
Ago.2016,86.213043138844
Sep.2016,86.3910421158843
Oct.2016,86.7481433937979
Nov.2016,86.9997685797355
Dic.2016,87.2905176704464
Ene.2017,87.4981321088573
Feb.2017,87.7809010228465
Mar.2017,88.9260539521744
Abr.2017,88.6965771763182
May.2017,88.3210908710632
Jun.2017,88.1804847816058
Jul.2017,88.3553341822423
Ago.2017,88.9492813838017
Sep.2017,88.9352541037068
Oct.2017,88.5179296753887
Nov.2017,88.3433392676972
Dic.2017,88.4819074367963
Ene.2018,88.594648523903
Feb.2018,88.8163305147703
Mar.2018,89.2489764935573
Abr.2018,89.1266401691656
May.2018,89.1430886514034
Jun.2018,89.440878461853
Jul.2018,89.7832456102935
Ago.2018,89.9015505324364
Sep.2018,90.0738752726222
Oct.2018,90.1474507938922
Nov.2018,90.2578255325897
Dic.2018,90.4218937443323
Ene.2019,90.4809684380851
Feb.2019,90.595663429072
Mar.2019,91.2547942250017
Abr.2019,91.4373773077339
May.2019,91.5723515157514
Jun.2019,91.493350335306
Jul.2019,91.6793898976101
Ago.2019,91.7352934900762
Sep.2019,91.7411489525572
Oct.2019,91.8427297350918
Nov.2019,91.9427558656052
Dic.2019,92.1399925330876
Ene.2020,92.1895712817569
Feb.2020,92.3206390707161
Mar.2020,92.9170303880033
Abr.2020,93.0142055130683
May.2020,93.204097335048
Jun.2020,92.9560841633195
Jul.2020,93.3861811793687
Ago.2020,93.2832332195989
Sep.2020,93.4104286127018
Oct.2020,93.4260987274024
Nov.2020,93.9123624949692
Dic.2020,93.9581285619732
Ene.2021,94.6561451002628
Feb.2021,94.5375735473133
Mar.2021,95.3311869507106
Abr.2021,95.2313830125361
May.2021,95.4852294275117
Jun.2021,95.9814390796482
Jul.2021,96.948489573628
Ago.2021,97.9033694822447
Sep.2021,98.2953966184284
Oct.2021,98.8691125131803
Nov.2021,99.2232454403164
Dic.2021,100
Ene.2022,100.037268
Feb.2022,100.34884
Mar.2022,101.836672
Abr.2022,102.816232
May.2022,103.211072
Jun.2022,104.439931
Jul.2022,105.422597
Ago.2022,106.125283
Sep.2022,106.679849
Oct.2022,107.050724
Nov.2022,107.604861
Dic.2022,108.459162
Ene.2023,108.704764
Feb.2023,109.024924
Mar.2023,110.391537
Abr.2023,111.005592
May.2023,111.358436
Jun.2023,111.188314
Jul.2023,111.623134
Ago.2023,112.042985
Sep.2023,112.061363
Oct.2023,111.700024
Nov.2023,111.517885
Dic.2023,111.9704
Ene.2024,111.991911
Feb.2024,112.616278
Mar.2024,113.75301
Abr.2024,113.694232
May.2024,113.591104
Jun.2024,113.729392
Jul.2024,113.998099
Ago.2024,114.322048
Sep.2024,114.050464
Oct.2024,113.944279
Nov.2024,114.051561
Dic.2024,114.172077
Ene.2025,114.065534
Feb.2025,114.279991
Mar.2025,115.205841
Abr.2025,115.572272
May.2025,115.507003
Jun.2025,115.655637
Jul.2025,115.9233
Ago.2025,115.586828
Sep.2025,115.599718
Oct.2025,115.484549
Nov.2025,115.612485
Dic.2025,115.894705
Ene.2026,116.005694
Feb.2026,116.81034
Mar.2026,119.5889
Abr.2026,120.211509
May.2026,120.017612
Jun.2026,120.292167
Jul.2026,120.635759
Ago.2026,120.716351
